ExerciseID,Target_Muscle,Machine,Rest_Intervals,Experience_Required
1,Quadriceps,Treadmill,2,1
2,Hamstrings,Stationary Bike,3,1
3,Quadriceps,Elliptical Trainer,2,1
4,Upper Body,Rowing,3,2
5,Quadriceps,Leg Press,2,2
6,Latissimus Dorsi,Lat Pulldown,3,2
7,Pectoralis Major,Chest Press,2,2
8,Quadriceps,Cable,2,3
9,Quadriceps,Leg Extension,2,3
10,Hamstrings,Leg Curl,3,3
11,Quadriceps,Smith,2,4
12,Latissimus Dorsi,Seated Row,3,4
13,Deltoids,Shoulder Press,2,4
14,Rectus Abdominis,Abdominal Crunch,2,5
15,Gastrocnemius,Calf Raise,3,5
16,Quadriceps,Treadmill,2,1
17,Hamstrings,Stationary Bike,3,1
18,Quadriceps,Elliptical Trainer,2,1
19,Upper Body,Rowing,3,2
20,Quadriceps,Leg Press,2,2
21,Latissimus Dorsi,Lat Pulldown,3,2
22,Pectoralis Major,Chest Press,2,2
23,Quadriceps,Cable,2,3
24,Quadriceps,Leg Extension,2,3
25,Hamstrings,Leg Curl,3,3
