ReportID,progress,total_time,memberId
1,30,25,1
2,40,22,2
3,50,30,3
4,20,15,4
5,60,32,5
6,35,20,6
7,45,28,7
8,25,18,8
9,55,34,9
10,15,10,10
11,65,35,11
12,33,24,12
13,75,28,13
14,27,20,14
15,70,30,15
16,22,16,16
17,80,34,17
18,18,12,18
19,85,25,19
20,38,28,20
21,90,32,21
22,32,18,22
23,95,30,23
24,29,22,24
25,100,35,25
26,36,25,26
27,60,32,27
28,31,20,28
29,65,34,29
30,34,28,30
31,70,30,31
32,33,22,32
33,75,35,33
34,35,20,34
35,80,32,35
36,37,28,36
37,85,34,37
38,39,20,38
39,90,30,39
40,40,28,40
41,95,35,41
42,42,22,42
43,100,32,43
44,44,20,44
45,80,34,45
46,46,25,46
47,85,30,47
48,48,20,48
49,90,32,49
50,50,28,50
